"","p","p.adj","eta1","mean1","sd1","eta2","mean2","sd2","mod.pool.var"
"Alistipes",0.0720215370091291,1,0.285714285714286,-3.27869150567633,1.52152843230776,0.5,-1.826523767622,0.865729618298621,1.26973190792755
"X.Methanobacteriales.",0.0727239774675968,1,0.428571428571429,-4.51716314154431,0.521736739918643,0.625,-3.19144377267626,0.825055736192157,0.80573913577916
"Niastella",0.0754357739981818,1,0.285714285714286,-0.562287769872218,0.169680077888601,0.625,0.55773760352445,0.453672648085005,0.648604826850467
"Caulobacter",0.0765820621026632,1,0.428571428571429,-3.15740252240599,0.677008873775195,0.75,-1.62096875310087,0.838277546663695,0.857469466502266
"Klebsiella",0.0799875431180419,1,0.428571428571429,-2.33334696439683,1.92776465958363,0.5,-0.7152616077966,0.929683274130997,1.49375155287974
"Chondromyces",0.0807497567235253,1,0.571428571428571,-3.3757205511787,0.118415995183825,0.75,-4.89165073423936,0.16839362664324,0.765364768387091
"Oscillatoria",0.0910027072750788,1,0.571428571428571,-2.72321636788959,0.657331216017693,0.5,-3.97033842425398,0.693583641125822,0.814572100968249
"X.Orbiliaceae.",0.0974088906236513,1,0.571428571428571,-3.84405366488729,1.05829810001402,1,-5.01727983681492,1e-06,1.11457657211661
"Kocuria",0.0977200937560093,1,0.285714285714286,-2.74331728010513,0.73563222276335,0.625,-3.98652785980589,1.18886499381899,0.934133928427728
"Candidatus_Contendobacter",0.0995987815421478,1,0.571428571428571,-4.21169576257188,0.737914697995698,1,-5.01727983681492,1e-06,1.00636652068693
"Tetragenococcus",0.0997676470227999,1,0.571428571428571,-4.63413113803084,0.63155773706142,0.75,-3.1186098749022,0.79160873820893,0.873622302008
"X.Sphingobacteriaceae.",0.103695735059443,1,0.142857142857143,-0.500374542884678,1.43604723240834,0.625,0.838808526629812,0.322764941509955,1.21027480009181
"Emticicia",0.10401225367704,1,0.285714285714286,-3.93137146193738,0.896758368041659,0.5,-2.83381461786964,0.861233027210157,0.905059918074202
"Methanocella",0.10544620847142,1,0.571428571428571,-4.22914436905141,0.751378899870229,1,-5.01727983681492,1e-06,1.01013703631789
"Yersinia",0.106011601865432,1,0.142857142857143,-3.24421069401888,0.921250341590718,0.125,-2.22247943459069,1.32290099278399,1.18039061589634
"Pseudoxanthomonas",0.107070329679042,1,0.571428571428571,-3.27616093971828,0.280637984787823,0.75,-4.6703785122197,0.144532550713393,0.775019809684455
"Bdellovibrio",0.109297090485555,1,0.285714285714286,-3.11069621544307,1.21182442631745,0.625,-1.86749354068979,0.335587944844629,1.00498790033934
"X.Alteromonadales.",0.112260075757567,1,0.285714285714286,-4.1719269721466,0.530111331085372,0.125,-3.43916804849731,0.25328186644081,0.566499703405056
"Pseudovibrio",0.11229438649031,1,0.428571428571429,-4.91262467591883,0.30247257352972,0.875,-3.22446108027853,1e-06,0.782622037454793
"X.Leotiomycetes.",0.114130088103818,1,0.571428571428571,-2.09980017546284,0.594576597963119,0.625,-3.32545950312739,0.480371144784323,0.79079614647042
"Snodgrassella",0.116231777529714,1,0.428571428571429,-2.06559426928629,2.41467371056045,0.625,-0.231379076775633,1.25975720610633,2.06889131927581
"X.Tremellaceae.",0.116626039508546,1,0.571428571428571,-3.17917493602981,1.88479174756507,1,-5.01727983681492,1e-06,1.57196255273892
"Syntrophobotulus",0.117761894770841,1,0.571428571428571,-4.79419598254544,0.230396080960075,1,-5.01727983681492,1e-06,0.913959162906617
"Succinatimonas",0.119382235006238,1,0.571428571428571,-4.49926039483362,0.883216110349803,0.5,-3.23848309706322,1.06480307343691,0.995916869130907
"Leeuwenhoekiella",0.119865718251623,1,0.428571428571429,-4.33863946893448,0.624496891686638,0.625,-3.23107138608061,0.498085082461751,0.770764767534735
"Lautropia",0.121223311386211,1,0.571428571428571,-4.40393350444589,0.74894807911591,0.75,-2.98271006114113,0.599417378464058,0.878115147394058
"Fibrisoma",0.121243712526872,1,0.285714285714286,-2.72796858749667,1.29470242191593,0.5,-1.6028639271198,0.63994026416112,1.05483602455885
"Thermoanaerobacter",0.122279809011438,1,0.428571428571429,-4.91262467591883,0.30247257352972,0.625,-3.65415162240689,1.56239223209173,1.00924331938439
"Psychromonas",0.122547429240466,1,0.571428571428571,-4.74922527367024,0.2852136946904,1,-5.01727983681492,1e-06,0.919273891329182
"Sodalis",0.125650895414708,1,0.714285714285714,-4.05588819983022,0.737412890566502,0.75,-2.5121574935263,0.163717819556955,0.875326354760574
"Niabella",0.12570818278311,1,0.285714285714286,-1.7297773154106,0.814674824359401,0.625,-0.670038757028826,0.394390576370285,0.80459227696279
